Name,"CH INDUSTRIAL PRODUCTION: ELECTRICITY VOLN"
1996/09/30,87.6
1996/10/31,87.39
1996/11/29,89.212
1996/12/31,95.824
1997/01/31,89.138
1997/02/28,77.575
1997/03/31,93.183
1997/04/30,88.262
1997/05/30,93.713
1997/06/30,92.473
1997/07/31,96.412
1997/08/29,97.118
1997/09/30,91.15
1997/10/31,91.018
1997/11/28,91.654
1997/12/31,98.763
1998/01/30,86.627
1998/02/27,81.935
1998/03/31,96.361
1998/04/30,90.993
1998/05/29,91.782
1998/06/30,92.612
1998/07/31,99.342
1998/08/31,100.607
1998/09/30,93.013
1998/10/30,94.105
1998/11/30,95.497
1998/12/31,105.26
1999/01/29,110.143
1999/02/26,81.405
1999/03/31,99.012
1999/04/30,93.985
1999/05/31,96.917
1999/06/30,97.725
1999/07/30,107.123
1999/08/31,107.248
1999/09/30,100.364
1999/10/29,99.453
1999/11/30,100.301
1999/12/31,110.379
2000/01/31,105.232
2000/02/29,95.743
2000/03/31,104.393
2000/04/28,103.721
2000/05/31,109.776
2000/06/30,109.813
2000/07/31,119.372
2000/08/31,117.41
2000/09/29,107.88
2000/10/31,108.965
2000/11/30,111.436
2000/12/29,119.4
2001/01/31,103.698
2001/02/28,105.45
2001/03/30,117.078
2001/04/30,111.668
2001/05/31,117.787
2001/06/29,119.221
2001/07/31,131.067
2001/08/31,126.884
2001/09/28,118.85
2001/10/31,118.04
2001/11/30,120.195
2001/12/31,131.311
2002/01/31,131.673
2002/02/28,101.041
2002/03/29,124.097
2002/04/30,124.965
2002/05/31,128.372
2002/06/28,135.476
2002/07/31,145.804
2002/08/30,145.599
2002/09/30,142.655
2002/10/31,138.519
2002/11/29,140.815
2002/12/31,151.412
2003/01/31,137.554
2003/02/28,125.803
2003/03/31,145.806
2003/04/30,142.719
2003/05/30,145.397
2003/06/30,151.426
2003/07/31,169.93
2003/08/29,170.029
2003/09/30,158.457
2003/10/31,158.109
2003/11/28,162.46
2003/12/31,171.058
2004/01/30,147.969
2004/02/27,157.048
2004/03/31,170.669
2004/04/30,167.888
2004/05/31,169.288
2004/06/30,174.81
2004/07/30,189.879
2004/08/31,192.095
2004/09/30,180.954
2004/10/29,184.431
2004/11/30,185.877
2004/12/31,193.125
2005/01/31,191.489
2005/02/28,160.106
2005/03/31,194.047
2005/04/29,189.206
2005/05/31,192.47
2005/06/30,200.675
2005/07/29,217.89
2005/08/31,216.205
2005/09/30,205.325
2005/10/31,201.097
2005/11/30,204.189
2005/12/30,224.659
2006/01/31,206.339
2006/02/28,196.201
2006/03/31,216.162
2006/04/28,211.66
2006/05/31,217.528
2006/06/30,230.193
2006/07/31,251.714
2006/08/31,257.049
2006/09/29,236.475
2006/10/31,232.43
2006/11/30,236.336
2006/12/29,257.34
2007/01/31,251.24
2007/02/28,196.73
2007/03/30,247.2
2007/04/30,247.45
2007/05/31,256.868
2007/06/29,271.559
2007/07/31,291.571
2007/08/31,298.976
2007/09/28,276.005
2007/10/31,272.788
2007/11/30,275.473
2007/12/31,294.687
2008/01/31,283.152
2008/02/29,233.776
2008/03/31,289.784
2008/04/30,281.432
2008/05/30,293.379
2008/06/30,293.447
2008/07/31,319.536
2008/08/29,316.06
2008/09/30,289.245
2008/10/31,264.501
2008/11/28,254.022
2008/12/31,273.961
2009/01/30,243.35
2009/02/27,244.94
2009/03/31,283.36
2009/04/30,271.288
2009/05/29,283.89
2009/06/30,310.01
2009/07/31,334.5
2009/08/31,344.32
2009/09/30,320.33
2009/10/30,312.1
2009/11/30,323.41
2009/12/31,349.78
2010/01/29,339.42
2010/02/26,269.59
2010/03/31,336.95
2010/04/30,331.64
2010/05/31,340.47
2010/06/30,346.66
2010/07/30,377.64
2010/08/31,390.33
2010/09/30,348.65
2010/10/29,332.88
2010/11/30,345.34
2010/12/31,367.78
2011/01/31,367.21
2011/02/28,310.08
2011/03/31,383.01
2011/04/29,366.38
2011/05/31,377.54
2011/06/30,396.82
2011/07/29,425.15
2011/08/31,426.04
2011/09/30,386.06
2011/10/31,364.04
2011/11/30,371.3
2011/12/30,403.81
2012/01/31,348.56
2012/02/29,370.17
2012/03/30,410.92
2012/04/30,371.82
2012/05/31,389.81
2012/06/29,393.35
2012/07/31,435.12
2012/08/31,437.277
2012/09/28,390.73
2012/10/31,389.77
2012/11/30,401.05
2012/12/31,432.72
2013/01/31,434.11
2013/02/28,323.21
2013/03/29,419.429
2013/04/30,399.44
2013/05/31,410.414
2013/06/28,425.261
2013/07/31,479.452
2013/08/30,498.7
2013/09/30,431.04
2013/10/31,430.52
2013/11/29,439.182
2013/12/31,477.963
2014/01/31,NA
2014/02/28,383.358
2014/03/31,452.768
2014/04/30,425.022
2014/05/30,441.594
2014/06/30,458.071
2014/07/31,504.794
2014/08/29,495.931
2014/09/30,454.172
2014/10/31,444.641
2014/11/28,448.721
2014/12/31,490.218
2015/01/30,NA
2015/02/27,365.385
2015/03/31,451.061
2015/04/30,445.026
2015/05/29,456.218
2015/06/30,474.527
2015/07/31,508.962
2015/08/31,515.531
2015/09/30,454.776
2015/10/30,445.355
2015/11/30,466.041
2015/12/31,491.033
2016/01/29,481.247
2016/02/29,388.926
2016/03/31,477.884
2016/04/29,444.45
2016/05/31,463.59
2016/06/30,490.79
2016/07/29,550.61
2016/08/31,561.72
2016/09/30,491.28
2016/10/31,487.58
2016/11/30,503.41
2016/12/30,532.89
2017/01/31,NA
2017/02/28,527.19
2017/03/31,516.89
2017/04/28,476.7
2017/05/31,494.7
2017/06/30,520.3
2017/07/31,604.7
2017/08/31,594.5
2017/09/29,522
2017/10/31,503.8
2017/11/30,519.6
2017/12/29,569.9
2018/01/31,NA
2018/02/28,NA
2018/03/30,528.3
2018/04/30,510.8
2018/05/31,544.3
2018/06/29,555.1
2018/07/31,640
2018/08/31,640.5
2018/09/28,548.3
2018/10/31,533
2018/11/30,554.3
2018/12/31,620
